flight_number,scheduled_time,priority,temp,wind_speed,visibility,actual_delay
FL000,2026-02-24T20:19:37.341330,1,32.2313284506133,30.638813296610675,10000,88
FL001,2026-02-24T21:19:37.341330,1,14.677194340690242,20.881139498744677,1000,42
FL002,2026-02-24T22:19:37.341330,0,13.940367343897307,44.83706310683286,5000,105
FL003,2026-02-24T23:19:37.341330,1,34.12666757927097,29.091446168635514,1000,84
FL004,2026-02-25T00:19:37.341330,0,16.029053406494775,3.056188897439416,5000,13
FL005,2026-02-25T01:19:37.341330,1,28.723233485099705,21.195649723254345,10000,75
FL006,2026-02-25T02:19:37.341330,0,14.867712407956141,28.616138477211145,10000,109
FL007,2026-02-25T03:19:37.341330,0,7.1320528200085285,17.997751560957713,5000,119
FL008,2026-02-25T04:19:37.341330,1,6.0019407473556985,46.109511952946114,1000,3
FL009,2026-02-25T05:19:37.341330,1,33.441156586742686,23.355167081788625,10000,58
FL010,2026-02-25T06:19:37.341330,0,6.397603576266139,33.22359595971323,1000,14
FL011,2026-02-25T07:19:37.341330,1,5.749288310919827,7.039596238207163,5000,93
FL012,2026-02-25T08:19:37.341330,1,11.907186702816968,10.618412287615037,10000,112
FL013,2026-02-25T09:19:37.341330,0,10.064556328247747,37.87245578409816,5000,7
FL014,2026-02-25T10:19:37.341330,0,8.732155102896645,39.567498794856384,10000,24
FL015,2026-02-25T11:19:37.341330,0,16.991674848983934,12.705584330924957,10000,49
FL016,2026-02-25T12:19:37.341330,0,27.592786350429826,27.668864777445112,5000,80
FL017,2026-02-25T13:19:37.341330,0,4.119115465232692,14.167187083327592,1000,99
FL018,2026-02-25T14:19:37.341330,1,32.45417439023019,24.755303299130016,5000,19
FL019,2026-02-25T15:19:37.341330,1,19.814904945679935,6.900128783562049,1000,15
FL020,2026-02-25T16:19:37.341330,0,22.24710882591325,6.791872074466015,1000,64
FL021,2026-02-25T17:19:37.341330,1,8.681189843662573,12.214417191596254,5000,40
FL022,2026-02-25T18:19:37.341330,1,7.966937544152781,36.4962982082425,5000,63
FL023,2026-02-25T19:19:37.341330,0,13.589316065917284,18.137085604335628,5000,32
FL024,2026-02-25T20:19:37.341330,1,9.071853842880731,37.27972050179079,10000,45
FL025,2026-02-25T21:19:37.341330,0,2.8633707909905093,5.66714819688694,10000,97
FL026,2026-02-25T22:19:37.341330,1,0.22237368752642261,12.657251425174977,5000,59
FL027,2026-02-25T23:19:37.341330,1,30.331868512595044,27.122449388025338,1000,29
FL028,2026-02-26T00:19:37.341330,1,8.065969894545004,23.14044418655332,10000,46
FL029,2026-02-26T01:19:37.341330,1,1.7054405599225086,19.12719286103634,1000,31
FL030,2026-02-26T02:19:37.341330,1,22.7515357149636,4.084295342745936,10000,78
FL031,2026-02-26T03:19:37.341330,1,10.454520322834187,18.317705480520267,5000,108
FL032,2026-02-26T04:19:37.341330,1,22.47446665901606,27.52441740257196,5000,92
FL033,2026-02-26T05:19:37.341330,1,20.528596634434667,1.0164582640499464,5000,42
FL034,2026-02-26T06:19:37.341330,1,33.03410331749783,39.92465124425685,5000,0
FL035,2026-02-26T07:19:37.341330,0,25.066732367570385,10.79624754035809,1000,116
FL036,2026-02-26T08:19:37.341330,1,8.818379066680375,18.79476892070006,1000,9
FL037,2026-02-26T09:19:37.341330,0,0.9044896126731805,3.530400848872095,1000,8
FL038,2026-02-26T10:19:37.341330,1,9.553655112702293,27.867181516879995,1000,96
FL039,2026-02-26T11:19:37.341330,1,1.560989646090456,24.287569631568946,5000,21
FL040,2026-02-26T12:19:37.341330,1,15.631256528005565,17.63200545584661,5000,120
FL041,2026-02-26T13:19:37.341330,1,15.510362400926418,42.99147038654067,5000,94
FL042,2026-02-26T14:19:37.341330,0,-4.022759418720225,16.710441173616232,10000,26
FL043,2026-02-26T15:19:37.341330,0,8.358078811253824,12.399279875726494,10000,85
FL044,2026-02-26T16:19:37.341330,1,-3.092353842260267,27.23260464492175,10000,5
FL045,2026-02-26T17:19:37.341330,0,21.586191075286344,4.986606562449109,1000,56
FL046,2026-02-26T18:19:37.341330,0,-1.3309795461847163,36.32464302398758,10000,52
FL047,2026-02-26T19:19:37.341330,1,-2.1682753492001616,1.3671240524074202,5000,45
FL048,2026-02-26T20:19:37.341330,0,25.66234897672655,47.52630406789024,5000,2
FL049,2026-02-26T21:19:37.341330,1,-4.6764574079829835,4.626685588575641,5000,117
